uncertainty,seed,P,T_star,human_baseline,deadline,beats_human,meets_deadline,solver_status
0.30,82,2,38.05,76,40,true,true,OPTIMAL
0.30,82,3,38.05,76,40,true,true,OPTIMAL
0.30,82,4,38.05,76,40,true,true,OPTIMAL
0.30,82,6,38.05,76,40,true,true,OPTIMAL
0.30,82,8,38.05,76,40,true,true,OPTIMAL
0.30,83,1,47.70,76,40,true,false,OPTIMAL
0.30,83,2,31.35,76,40,true,true,OPTIMAL
0.30,83,3,31.35,76,40,true,true,OPTIMAL
0.30,83,4,31.35,76,40,true,true,OPTIMAL
0.30,83,6,31.35,76,40,true,true,OPTIMAL
0.30,83,8,31.35,76,40,true,true,OPTIMAL
0.30,84,1,53.00,76,40,true,false,OPTIMAL
0.30,84,2,35.75,76,40,true,true,OPTIMAL
0.30,84,3,35.75,76,40,true,true,OPTIMAL
0.30,84,4,35.75,76,40,true,true,OPTIMAL
0.30,84,6,35.75,76,40,true,true,OPTIMAL
0.30,84,8,35.75,76,40,true,true,OPTIMAL
0.30,85,1,51.50,76,40,true,false,OPTIMAL
0.30,85,2,34.80,76,40,true,true,OPTIMAL
0.30,85,3,34.80,76,40,true,true,OPTIMAL
0.30,85,4,34.80,76,40,true,true,OPTIMAL
0.30,85,6,34.80,76,40,true,true,OPTIMAL
0.30,85,8,34.80,76,40,true,true,OPTIMAL
0.30,86,1,49.50,76,40,true,false,OPTIMAL
0.30,86,2,33.10,76,40,true,true,OPTIMAL
0.30,86,3,33.10,76,40,true,true,OPTIMAL
0.30,86,4,33.10,76,40,true,true,OPTIMAL
0.30,86,6,33.10,76,40,true,true,OPTIMAL
0.30,86,8,33.10,76,40,true,true,OPTIMAL
0.30,87,1,50.75,76,40,true,false,OPTIMAL
0.30,87,2,33.90,76,40,true,true,OPTIMAL
0.30,87,3,33.90,76,40,true,true,OPTIMAL
0.30,87,4,33.90,76,40,true,true,OPTIMAL
0.30,87,6,33.90,76,40,true,true,OPTIMAL
0.30,87,8,33.90,76,40,true,true,OPTIMAL
0.30,88,1,52.55,76,40,true,false,OPTIMAL
0.30,88,2,38.25,76,40,true,true,OPTIMAL
0.30,88,3,38.25,76,40,true,true,OPTIMAL
0.30,88,4,38.25,76,40,true,true,OPTIMAL
0.30,88,6,38.25,76,40,true,true,OPTIMAL
0.30,88,8,38.25,76,40,true,true,OPTIMAL
0.30,89,1,52.35,76,40,true,false,OPTIMAL
0.30,89,2,37.35,76,40,true,true,OPTIMAL
0.30,89,3,37.35,76,40,true,true,OPTIMAL
0.30,89,4,37.35,76,40,true,true,OPTIMAL
0.30,89,6,37.35,76,40,true,true,OPTIMAL
0.30,89,8,37.35,76,40,true,true,OPTIMAL
0.30,90,1,51.50,76,40,true,false,OPTIMAL
0.30,90,2,35.75,76,40,true,true,OPTIMAL
0.30,90,3,35.75,76,40,true,true,OPTIMAL
0.30,90,4,35.75,76,40,true,true,OPTIMAL
0.30,90,6,35.75,76,40,true,true,OPTIMAL
0.30,90,8,35.75,76,40,true,true,OPTIMAL
0.30,91,1,55.85,76,40,true,false,OPTIMAL
0.30,91,2,38.55,76,40,true,true,OPTIMAL
0.30,91,3,38.55,76,40,true,true,OPTIMAL
0.30,91,4,38.55,76,40,true,true,OPTIMAL
0.30,91,6,38.55,76,40,true,true,OPTIMAL
0.30,91,8,38.55,76,40,true,true,OPTIMAL
0.30,92,1,57.65,76,40,true,false,OPTIMAL
0.30,92,2,39.55,76,40,true,true,OPTIMAL
0.30,92,3,39.55,76,40,true,true,OPTIMAL
0.30,92,4,39.55,76,40,true,true,OPTIMAL
0.30,92,6,39.55,76,40,true,true,OPTIMAL
0.30,92,8,39.55,76,40,true,true,OPTIMAL
0.30,93,1,47.30,76,40,true,false,OPTIMAL
0.30,93,2,32.10,76,40,true,true,OPTIMAL
0.30,93,3,32.10,76,40,true,true,OPTIMAL
0.30,93,4,32.10,76,40,true,true,OPTIMAL
0.30,93,6,32.10,76,40,true,true,OPTIMAL
0.30,93,8,32.10,76,40,true,true,OPTIMAL
0.30,94,1,50.10,76,40,true,false,OPTIMAL
0.30,94,2,33.45,76,40,true,true,OPTIMAL
0.30,94,3,33.45,76,40,true,true,OPTIMAL
0.30,94,4,33.45,76,40,true,true,OPTIMAL
0.30,94,6,33.45,76,40,true,true,OPTIMAL
0.30,94,8,33.45,76,40,true,true,OPTIMAL
0.30,95,1,53.35,76,40,true,false,OPTIMAL
0.30,95,2,38.80,76,40,true,true,OPTIMAL
0.30,95,3,38.80,76,40,true,true,OPTIMAL
0.30,95,4,38.80,76,40,true,true,OPTIMAL
0.30,95,6,38.80,76,40,true,true,OPTIMAL
0.30,95,8,38.80,76,40,true,true,OPTIMAL
0.30,96,1,51.30,76,40,true,false,OPTIMAL
0.30,96,2,36.90,76,40,true,true,OPTIMAL
0.30,96,3,36.90,76,40,true,true,OPTIMAL
0.30,96,4,36.90,76,40,true,true,OPTIMAL
0.30,96,6,36.90,76,40,true,true,OPTIMAL
0.30,96,8,36.90,76,40,true,true,OPTIMAL
0.30,97,1,53.15,76,40,true,false,OPTIMAL
0.30,97,2,36.65,76,40,true,true,OPTIMAL
0.30,97,3,36.65,76,40,true,true,OPTIMAL
0.30,97,4,36.65,76,40,true,true,OPTIMAL
0.30,97,6,36.65,76,40,true,true,OPTIMAL
0.30,97,8,36.65,76,40,true,true,OPTIMAL
0.30,98,1,50.65,76,40,true,false,OPTIMAL
0.30,98,2,34.60,76,40,true,true,OPTIMAL
0.30,98,3,34.60,76,40,true,true,OPTIMAL
0.30,98,4,34.60,76,40,true,true,OPTIMAL
0.30,98,6,34.60,76,40,true,true,OPTIMAL
0.30,98,8,34.60,76,40,true,true,OPTIMAL
0.30,99,1,50.40,76,40,true,false,OPTIMAL
0.30,99,2,33.80,76,40,true,true,OPTIMAL
0.30,99,3,33.80,76,40,true,true,OPTIMAL
0.30,99,4,33.80,76,40,true,true,OPTIMAL
0.30,99,6,33.80,76,40,true,true,OPTIMAL
0.30,99,8,33.80,76,40,true,true,OPTIMAL
