experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-06A,exp06a_practical_variant_3_k050,baseline,17.90,18.65,0.75,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,18.65,21.05,2.40,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,21.05,21.80,0.75,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,0,0.500,0.500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,0.500,2.100,1.600,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,2.100,2.600,0.500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,2.600,3.350,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,3.350,3.850,0.500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,3.850,5.250,1.400,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,5.250,5.750,0.500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,5.750,6.050,0.300,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,6.050,6.800,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,6.800,7.800,1.000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,7.800,8.300,0.500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,8.300,10.100,1.800,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,10.100,10.600,0.500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,exact,10.600,12.200,1.600,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,12.200,13.200,1.000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,13.200,13.950,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,13.950,16.950,3.000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,16.950,17.700,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,17.700,18.450,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,18.450,20.850,2.400,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,exact,20.850,21.600,0.750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,0,1.0,1.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,1.0,4.2,3.2,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,4.2,5.2,1.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,5.2,6.7,1.5,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,6.7,7.7,1.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,7.7,10.5,2.8,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,10.5,11.5,1.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k100,baseline,11.5,12.1,0.6,1,1,0,2,2,false
