dag_id,allocation,total_human_share,target_concentration,actual_concentration,concentration_error,minimum_task_human_share,maximum_task_human_share,total_h_preserved,bounds_hold
exp08_development_n8_mixed_homogeneous_04,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_05,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_05,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_06,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_06,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_07,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_07,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_08,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_08,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_09,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_homogeneous_09,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_lognormal_00,low,0.120,0.30,0.3,0.00,0.06427777777777777777777777778,0.1909166666666666666666666667,true,true
exp08_development_n8_mixed_lognormal_00,high,0.120,0.70,0.7,0.00,0.08179166666666666666666666667,0.150,true,true
exp08_development_n8_mixed_lognormal_01,low,0.120,0.30,0.3,0.00,0.063,0.196,true,true
exp08_development_n8_mixed_lognormal_01,high,0.120,0.70,0.7,0.00,0.084,0.147,true,true
exp08_development_n8_mixed_lognormal_02,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_lognormal_02,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_lognormal_03,low,0.120,0.30,0.3,0.00,0.06479166666666666666666666667,0.189,true,true
exp08_development_n8_mixed_lognormal_03,high,0.120,0.70,0.7,0.00,0.081,0.1512083333333333333333333333,true,true
exp08_development_n8_mixed_lognormal_04,low,0.120,0.30,0.3,0.00,0.063,0.196,true,true
exp08_development_n8_mixed_lognormal_04,high,0.120,0.70,0.7,0.00,0.084,0.147,true,true
exp08_development_n8_mixed_lognormal_05,low,0.120,0.30,0.3,0.00,0.06119444444444444444444444444,0.204,true,true
exp08_development_n8_mixed_lognormal_05,high,0.120,0.70,0.7,0.00,0.08741666666666666666666666667,0.1428055555555555555555555556,true,true
exp08_development_n8_mixed_lognormal_06,low,0.120,0.30,0.3,0.00,0.06870833333333333333333333333,0.1764166666666666666666666667,true,true
exp08_development_n8_mixed_lognormal_06,high,0.120,0.70,0.7,0.00,0.07558333333333333333333333333,0.160375,true,true
exp08_development_n8_mixed_lognormal_07,low,0.120,0.30,0.3,0.00,0.064,0.192,true,true
exp08_development_n8_mixed_lognormal_07,high,0.120,0.70,0.7,0.00,0.08225,0.1493333333333333333333333333,true,true
exp08_development_n8_mixed_lognormal_08,low,0.120,0.30,0.3,0.00,0.06216666666666666666666666667,0.1995,true,true
exp08_development_n8_mixed_lognormal_08,high,0.120,0.70,0.7,0.00,0.0855,0.1451,true,true
exp08_development_n8_mixed_lognormal_09,low,0.120,0.30,0.3,0.00,0.072,0.168,true,true
exp08_development_n8_mixed_lognormal_09,high,0.120,0.70,0.7,0.00,0.072,0.168,true,true
exp08_development_n8_chain_like_homogeneous_00,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_00,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_01,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_01,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_02,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_02,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_03,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_03,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_04,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_04,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_05,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_05,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_06,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_06,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_07,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_07,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
exp08_development_n8_chain_like_homogeneous_08,low,0.120,0.30,0.3,0.00,0.048,0.336,true,true
exp08_development_n8_chain_like_homogeneous_08,high,0.120,0.70,0.7,0.00,0.112,0.144,true,true
