experiment_id,stream,namespace,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,attempt,raw_seed,accepted,reason,rho_l,longest_path_count,rho_h_low,rho_h_high
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_04,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,4,0,2141472457328323771,true,accepted_all_structural_and_allocator_checks,0.28,2,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_05,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,5,0,14510878293852048157,true,accepted_all_structural_and_allocator_checks,0.2857142857142857142857142857,1,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_06,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,6,0,16035519101373256061,true,accepted_all_structural_and_allocator_checks,0.2777777777777777777777777778,1,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,0,17719004742152239436,false,rho_l_outside_target_bin,0.3333333333333333333333333333,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,1,7238649597890220824,false,rho_l_outside_target_bin,0.5555555555555555555555555556,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,2,18130860888969781621,false,rho_l_outside_target_bin,0.375,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,3,16247360284769214772,false,rho_l_outside_target_bin,0.3333333333333333333333333333,2,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,4,17603656762127895968,false,rho_l_outside_target_bin,0.4210526315789473684210526316,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,5,6302023823830391198,false,rho_l_outside_target_bin,0.45,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_07,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,7,6,11115345621168183894,true,accepted_all_structural_and_allocator_checks,0.25,3,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_08,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,8,0,15924486382174934251,false,rho_l_outside_target_bin,0.3125,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_08,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,8,1,6584257137482651894,false,rho_l_outside_target_bin,0.3125,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_08,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,8,2,1463833721590252158,false,rho_l_outside_target_bin,0.3333333333333333333333333333,1,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_08,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,8,3,13192095429097956390,true,accepted_all_structural_and_allocator_checks,0.2692307692307692307692307692,2,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_09,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,9,0,8121148655114357030,false,rho_l_outside_target_bin,0.375,2,,
EXP-08,development,EXP-08-development-v1,exp08_development_n8_wide_layered_lognormal_09,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,9,1,8892319576791214954,true,accepted_all_structural_and_allocator_checks,0.25,3,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_00,n8_mixed_homogeneous,8,mixed,homogeneous,medium,0,0,2182609406094968800,true,accepted_all_structural_and_allocator_checks,0.5,6,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_01,n8_mixed_homogeneous,8,mixed,homogeneous,medium,1,0,9892174135954000567,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_02,n8_mixed_homogeneous,8,mixed,homogeneous,medium,2,0,15869409640170535113,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_03,n8_mixed_homogeneous,8,mixed,homogeneous,medium,3,0,10406762873186395839,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_04,n8_mixed_homogeneous,8,mixed,homogeneous,medium,4,0,14397276232572177788,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_05,n8_mixed_homogeneous,8,mixed,homogeneous,medium,5,0,7548566644715915946,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_06,n8_mixed_homogeneous,8,mixed,homogeneous,medium,6,0,8250879231183347006,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_07,n8_mixed_homogeneous,8,mixed,homogeneous,medium,7,0,15134015652275411087,true,accepted_all_structural_and_allocator_checks,0.5,4,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_08,n8_mixed_homogeneous,8,mixed,homogeneous,medium,8,0,16084693446905707435,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_homogeneous_09,n8_mixed_homogeneous,8,mixed,homogeneous,medium,9,0,11650820281315315591,true,accepted_all_structural_and_allocator_checks,0.5,5,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_lognormal_00,n8_mixed_lognormal,8,mixed,lognormal,medium,0,0,15112957089190930668,true,accepted_all_structural_and_allocator_checks,0.56,1,0.3,0.7
EXP-08,development,EXP-08-development-v1,exp08_development_n8_mixed_lognormal_01,n8_mixed_lognormal,8,mixed,lognormal,medium,1,0,9516161190318588158,true,accepted_all_structural_and_allocator_checks,0.5714285714285714285714285714,3,0.3,0.7
