experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,0,0.75,0.75,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,0.75,5.25,4.50,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,5.25,6.00,0.75,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,6.00,8.25,2.25,0,1,1,2,0,true
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,8.25,9.75,1.50,1,1,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,9.75,18.75,9.00,2,0,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,18.75,20.25,1.50,1,1,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,20.25,21.75,1.50,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,21.75,24.00,2.25,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,24.00,27.00,3.00,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,27.00,45.00,18.00,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,45.00,48.00,3.00,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,0,0.750,0.750,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,0.750,5.250,4.500,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,5.250,6.000,0.750,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,6.000,8.250,2.250,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,8.250,9.750,1.500,1,1,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,9.750,18.750,9.000,2,0,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,18.750,20.250,1.500,1,1,0,2,0,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,20.250,21.750,1.500,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,21.750,24.000,2.250,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,24.000,27.000,3.000,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,27.000,45.000,18.000,1,0,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,45.000,48.000,3.000,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,baseline,0,1.3500,1.3500,0,1,0,1,1,false
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,baseline,1.3500,5.8500,4.5000,1,0,0,1,1,false
