experiment_id,scenario_id,semantic_sha256,P,m,overhead_rate,lambda_h,alias_count,aliases,policy_id,task_count,total_overhead,human_overhead,agent_overhead,useful_W4,useful_H,W4,H,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,incumbent_makespan,solver_best_bound,solver_gap,solver_wall_time_seconds,incumbent_gap_to_B4,exact_critical_chain,baseline_gap_to_optimum,exact_makespan,exact_queue,exact_blocked_any,exact_full_agent_stop,exact_maximum_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_full_agent_stop,baseline_maximum_queue_length,canonical_scenario_id,analysis_overhead_rate,analysis_lambda_h,decomposition_gain_at_P,decomposition_gain_at_P1,interaction_contrast
EXP-05,exp05_p01_m03_ro000_lh00,eb7b477c22ed11175a7f74c32cbada332246697656f2ad2db6c777ff968c40e8,1,3,0,0,2,"P=1,m=3,r_o=0,lambda_h=0;P=1,m=3,r_o=0,lambda_h=0.5",bottom_level_fcfs_v1,7,0,0,0,60.00,15.00,60.00,15.00,30.00,60.00,15.00,60.00,work,t02->t03,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.001366,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m03_ro000_lh00,0,shared,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m03_ro050_lh00,d54a2188f65f99a0dbfa0ebe56d70d9c0a4956a3b03c8e4a94ac26420969f3e9,1,3,0.05,0,1,"P=1,m=3,r_o=0.05,lambda_h=0",bottom_level_fcfs_v1,7,2.40,0.00,2.40,60.00,15.00,62.40,15.00,30.00,62.40,15.00,62.40,work,t02->t03,OPTIMAL,62.40000,62.40000,62.400000,0.0,0.001247,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,62.40000,0,0,15.00000,0,62.40,0,0,15.00,0,exp05_p01_m03_ro050_lh00,0.05,0,-2.40000,-2.40000,0.00000
EXP-05,exp05_p01_m03_ro050_lh05,b51c240d56fd82d4ca77c2e549ad7992ffa8557e8e27dd5de47df8b860fd242c,1,3,0.05,0.5,1,"P=1,m=3,r_o=0.05,lambda_h=0.5",bottom_level_fcfs_v1,7,2.40,1.200,1.200,60.00,15.00,62.400,16.200,30.00,62.400,16.200,62.400,work,t02->t03,OPTIMAL,62.40000,62.40000,62.400000,0.0,0.001547,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,62.40000,0,0,16.20000,0,62.400,0,0,16.200,0,exp05_p01_m03_ro050_lh05,0.05,0.5,-2.40000,-2.40000,0.00000
EXP-05,exp05_p01_m03_ro100_lh00,d4481b38a06f695f7dae117eedcfddfbd58b2a0c2b4e9596ad634d1261497862,1,3,0.10,0,1,"P=1,m=3,r_o=0.10,lambda_h=0",bottom_level_fcfs_v1,7,4.80,0.00,4.80,60.00,15.00,64.80,15.00,30.00,64.80,15.00,64.80,work,t02->t03,OPTIMAL,64.80000,64.80000,64.800000,0.0,0.001312,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,64.80000,0,0,15.00000,0,64.80,0,0,15.00,0,exp05_p01_m03_ro100_lh00,0.10,0,-4.80000,-4.80000,0.00000
EXP-05,exp05_p01_m03_ro100_lh05,7509e2ae219e9755d43199b4e37646c03194158b98e423c267106367257e2f4e,1,3,0.10,0.5,1,"P=1,m=3,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,7,4.80,2.400,2.400,60.00,15.00,64.800,17.400,30.00,64.800,17.400,64.800,work,t02->t03,OPTIMAL,64.80000,64.80000,64.800000,0.0,0.001237,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,64.80000,0,0,17.40000,0,64.800,0,0,17.400,0,exp05_p01_m03_ro100_lh05,0.10,0.5,-4.80000,-4.80000,0.00000
EXP-05,exp05_p01_m04_ro000_lh00,ee546c2b74efa05f193975299ec4ff53db08b426f65ca225cb12aea4386290de,1,4,0,0,2,"P=1,m=4,r_o=0,lambda_h=0;P=1,m=4,r_o=0,lambda_h=0.5",bottom_level_fcfs_v1,8,0,0,0,60.00,15.00,60.00,15.00,30.00,60.00,15.00,60.00,work,t02->t03,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.001479,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_04.specification -> [task] t04_part_04.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m04_ro000_lh00,0,shared,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m04_ro050_lh00,92bb764d387a25394ad68494e4d8beff7b2e80a2ecbcf4d3a365130b06328b99,1,4,0.05,0,1,"P=1,m=4,r_o=0.05,lambda_h=0",bottom_level_fcfs_v1,8,3.60,0.00,3.60,60.00,15.00,63.60,15.00,30.00,63.60,15.00,63.60,work,t02->t03,OPTIMAL,63.60000,63.60000,63.600000,0.0,0.001756,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [agent] t04_part_04.specification -> [task] t04_part_04.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,63.60000,0,0,15.00000,0,63.60,0,0,15.00,0,exp05_p01_m04_ro050_lh00,0.05,0,-3.60000,-3.60000,0.00000
EXP-05,exp05_p01_m04_ro050_lh05,eb04921669c204f6dbc8ad3a3d1ed3a6371042a22a7f726a5ed279d14a437561,1,4,0.05,0.5,1,"P=1,m=4,r_o=0.05,lambda_h=0.5",bottom_level_fcfs_v1,8,3.60,1.800,1.800,60.00,15.00,63.600,16.800,30.00,63.600,16.800,63.600,work,t02->t03,OPTIMAL,63.60000,63.60000,63.600000,0.0,0.001398,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [agent] t04_part_04.specification -> [task] t04_part_04.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,63.60000,0,0,16.80000,0,63.600,0,0,16.800,0,exp05_p01_m04_ro050_lh05,0.05,0.5,-3.60000,-3.60000,0.00000
EXP-05,exp05_p01_m04_ro100_lh00,cf1f48691963806294033601b3480e006c67c898860dbf40c71682afc00fcc48,1,4,0.10,0,1,"P=1,m=4,r_o=0.10,lambda_h=0",bottom_level_fcfs_v1,8,7.20,0.00,7.20,60.00,15.00,67.20,15.00,30.00,67.20,15.00,67.20,work,t02->t03,OPTIMAL,67.20000,67.20000,67.200000,0.0,0.001375,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [agent] t04_part_04.specification -> [task] t04_part_04.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,67.20000,0,0,15.00000,0,67.20,0,0,15.00,0,exp05_p01_m04_ro100_lh00,0.10,0,-7.20000,-7.20000,0.00000
EXP-05,exp05_p01_m04_ro100_lh05,3e71de7fcfaa0e2bcfb88151a3d8b8097ef5d846ac27b722d589ae472b7167fc,1,4,0.10,0.5,1,"P=1,m=4,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,8,7.20,3.600,3.600,60.00,15.00,67.200,18.600,30.00,67.200,18.600,67.200,work,t02->t03,OPTIMAL,67.20000,67.20000,67.200000,0.0,0.001887,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_03.specification -> [task] t04_part_03.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [agent] t04_part_04.specification -> [task] t04_part_04.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,67.20000,0,0,18.60000,0,67.200,0,0,18.600,0,exp05_p01_m04_ro100_lh05,0.10,0.5,-7.20000,-7.20000,0.00000
