experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t01,human_1,1,human,12.00,12.75,0.75,12.00,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t01,agent_1,1,agent,12.75,17.25,4.50,,0
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t01,human_2,1,human,17.25,18.00,0.75,17.25,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t02,human_1,1,human,0,1.50,1.50,0,0
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t02,agent_1,1,agent,1.50,10.50,9.00,,0
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t02,human_2,1,human,10.50,12.00,1.50,10.50,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t03,human_1,1,human,39.00,41.25,2.25,39.00,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t03,agent_1,1,agent,41.25,54.75,13.50,,0
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t03,human_2,1,human,54.75,57.00,2.25,54.75,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t04_part_01,specification,1,human,18.00,21.00,3.00,18.00,0.00
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t04_part_01,implementation,1,agent,21.00,39.00,18.00,,0
EXP-05,exp05_p01_m01_ro000_lh00,baseline,phase,t04_join,acceptance,1,human,57.00,60.00,3.00,57.00,0.00
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t01,human_1,1,human,12.00000,12.75000,0.75000,12.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t01,agent_1,1,agent,12.75000,17.25000,4.50000,,0
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t01,human_2,1,human,17.25000,18.00000,0.75000,17.25000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t02,human_1,1,human,0.00000,1.50000,1.50000,0.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t02,agent_1,1,agent,1.50000,10.50000,9.00000,,0
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t02,human_2,1,human,10.50000,12.00000,1.50000,10.50000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t03,human_1,1,human,39.00000,41.25000,2.25000,39.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t03,agent_1,1,agent,41.25000,54.75000,13.50000,,0
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t03,human_2,1,human,54.75000,57.00000,2.25000,54.75000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t04_part_01,specification,1,human,18.00000,21.00000,3.00000,18.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t04_part_01,implementation,1,agent,21.00000,39.00000,18.00000,,0
EXP-05,exp05_p01_m01_ro000_lh00,exact,phase,t04_join,acceptance,1,human,57.00000,60.00000,3.00000,57.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t01,human_1,1,human,12.00,12.75,0.75,12.00,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t01,agent_1,1,agent,12.75,17.25,4.50,,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t01,human_2,1,human,17.25,18.00,0.75,17.25,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t02,human_1,1,human,0,1.50,1.50,0,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t02,agent_1,1,agent,1.50,10.50,9.00,,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t02,human_2,1,human,10.50,12.00,1.50,10.50,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t03,human_1,1,human,18.00,20.25,2.25,18.00,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t03,agent_1,1,agent,20.25,33.75,13.50,,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t03,human_2,1,human,33.75,36.00,2.25,33.75,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t04_part_01,specification,1,human,36.00,37.50,1.50,36.00,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t04_part_01,implementation,1,agent,37.50,46.50,9.00,,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t04_part_02,specification,1,human,46.50,48.00,1.50,46.50,0.00
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t04_part_02,implementation,1,agent,48.00,57.00,9.00,,0
EXP-05,exp05_p01_m02_ro000_lh00,baseline,phase,t04_join,acceptance,1,human,57.00,60.00,3.00,57.00,0.00
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t01,human_1,1,human,12.00000,12.75000,0.75000,12.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t01,agent_1,1,agent,12.75000,17.25000,4.50000,,0
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t01,human_2,1,human,17.25000,18.00000,0.75000,17.25000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t02,human_1,1,human,0.00000,1.50000,1.50000,0.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t02,agent_1,1,agent,1.50000,10.50000,9.00000,,0
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t02,human_2,1,human,10.50000,12.00000,1.50000,10.50000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t03,human_1,1,human,18.00000,20.25000,2.25000,18.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t03,agent_1,1,agent,20.25000,33.75000,13.50000,,0
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t03,human_2,1,human,33.75000,36.00000,2.25000,33.75000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t04_part_01,specification,1,human,36.00000,37.50000,1.50000,36.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t04_part_01,implementation,1,agent,37.50000,46.50000,9.00000,,0
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t04_part_02,specification,1,human,46.50000,48.00000,1.50000,46.50000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t04_part_02,implementation,1,agent,48.00000,57.00000,9.00000,,0
EXP-05,exp05_p01_m02_ro000_lh00,exact,phase,t04_join,acceptance,1,human,57.00000,60.00000,3.00000,57.00000,0.00000
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t01,human_1,1,human,12.00,12.75,0.75,12.00,0.00
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t01,agent_1,1,agent,12.75,17.25,4.50,,0
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t01,human_2,1,human,17.25,18.00,0.75,17.25,0.00
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t02,human_1,1,human,0,1.50,1.50,0,0
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t02,agent_1,1,agent,1.50,10.50,9.00,,0
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t02,human_2,1,human,10.50,12.00,1.50,10.50,0.00
EXP-05,exp05_p01_m02_ro050_lh00,baseline,phase,t03,human_1,1,human,18.00,20.25,2.25,18.00,0.00
