experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,4,specification,1,human,13.40,14.15,0.75,13.40,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,4,implementation,1,agent,14.15,17.15,3.00,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,4,review,1,human,17.15,17.90,0.75,17.15,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,5,specification,2,human,3.35,3.85,0.50,2.60,0.75
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,5,implementation,2,agent,3.85,5.25,1.40,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,5,review,2,human,5.25,5.75,0.50,5.25,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,6,specification,1,human,17.90,18.65,0.75,17.90,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,6,implementation,1,agent,18.65,21.05,2.40,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,6,review,1,human,21.05,21.80,0.75,21.05,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,7,specification,2,human,5.75,6.25,0.50,5.75,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,7,implementation,2,agent,6.25,8.05,1.80,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,7,review,2,human,8.05,8.55,0.50,8.05,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,wait,2,review,1,human_queue,6.05,6.25,0.20,6.05,0.20
EXP-06A,exp06a_practical_variant_3_k050,baseline,wait,5,specification,2,human_queue,2.60,3.35,0.75,2.60,0.75
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,1,specification,4,human,0.000,0.500,0.500,0.000,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,1,implementation,4,agent,0.500,2.100,1.600,,0
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,1,review,4,human,2.100,2.600,0.500,2.100,0.000
EXP-06A,exp06a_practical_variant_3_k050,exact,phase,2,specification,3,human,2.600,3.350,0.750,2.600,0.000
