pair_type,dag_id,task_count,topology_family,weight_type,path_multiplicity,observation_index,phase_profile,P,path_stable,path_transition,delta_reference_path_length,delta_reference_path_length_normalized,delta_L4,delta_B4,theoretical_delta,identity_holds,delta_makespan,delta_makespan_normalized,delta_queue,delta_queue_normalized,delta_blocked_any,delta_blocked_any_normalized
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,4,,,,,,,,,-0.960,-0.04,-3.552,-0.148,-1.920,-0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,8,,,,,,,,,-0.768,-0.032,0.000,0,-0.384,-0.016
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.488,-0.062,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,0.384,0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,4,true,t01->t03 => t01->t03,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,4,,,,,,,,,-1.344,-0.056,-2.784,-0.116,-1.344,-0.056
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,8,,,,,,,,,-0.768,-0.032,2.112,0.088,0.960,0.04
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,equal_alternating,4,,,,,,,,,-0.384,-0.016,-0.816,-0.034,0.336,0.014
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,equal_alternating,8,,,,,,,,,-0.384,-0.016,-0.672,-0.028,2.208,0.092
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,4,true,t01->t08 => t01->t08,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,io,4,,,,,,,,,-0.960,-0.04,-3.552,-0.148,-1.920,-0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,io,8,,,,,,,,,-0.768,-0.032,0.000,0,-0.384,-0.016
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.488,-0.062,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,0.384,0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,tied,3,io,4,true,t01->t03 => t01->t03,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,io,4,,,,,,,,,-1.824,-0.076,-3.072,-0.128,-1.152,-0.048
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,io,8,,,,,,,,,-0.768,-0.032,-0.384,-0.016,0.192,0.008
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.104,-0.046,0.512,0.02133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.960,0.04,1.536,0.064
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,tied,4,io,4,true,t01->t04 => t01->t04,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,io,4,,,,,,,,,-0.384,-0.016,-1.440,-0.06,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,io,8,,,,,,,,,-0.768,-0.032,1.920,0.08,1.920,0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,equal_alternating,4,,,,,,,,,-0.192,-0.008,-0.144,-0.006,0.240,0.01
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.096,0.004,2.976,0.124
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,tied,5,io,4,true,t01->t07 => t01->t07,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,tied,6,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,io,4,,,,,,,,,-0.960,-0.04,-3.552,-0.148,-1.920,-0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,io,8,,,,,,,,,-0.768,-0.032,0.000,0,-0.384,-0.016
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.488,-0.062,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,0.384,0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,tied,7,io,4,true,t01->t03 => t01->t03,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,io,4,,,,,,,,,-0.384,-0.016,-1.440,-0.06,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,io,8,,,,,,,,,-0.768,-0.032,1.920,0.08,1.920,0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,equal_alternating,4,,,,,,,,,-0.192,-0.008,-0.144,-0.006,0.240,0.01
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.096,0.004,2.976,0.124
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,tied,8,io,4,true,t01->t07 => t01->t07,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,tied,9,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,io,4,,,,,,,,,-0.384,-0.016,-0.768,-0.032,-1.536,-0.064
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,io,8,,,,,,,,,-0.768,-0.032,0.576,0.024,1.344,0.056
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,equal_alternating,4,,,,,,,,,-0.192,-0.008,-0.384,-0.016,-0.768,-0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.864,0.036,2.976,0.124
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_10,8,wide_layered,homogeneous,tied,10,io,4,true,t01->t06 => t01->t06,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,io,4,,,,,,,,,-0.480,-0.02,-0.672,-0.028,-1.728,-0.072
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,io,8,,,,,,,,,-0.768,-0.032,1.152,0.048,-0.768,-0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,equal_alternating,4,,,,,,,,,-0.240,-0.01,-0.336,-0.014,-0.864,-0.036
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,-0.384,-0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_11,8,wide_layered,homogeneous,tied,11,io,4,true,t01->t02 => t01->t02,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,io,4,,,,,,,,,-0.480,-0.02,-0.672,-0.028,-1.728,-0.072
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,io,8,,,,,,,,,-0.768,-0.032,1.152,0.048,-0.768,-0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,equal_alternating,4,,,,,,,,,-0.240,-0.01,-0.336,-0.014,-0.864,-0.036
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,-0.384,-0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_12,8,wide_layered,homogeneous,tied,12,io,4,true,t01->t02 => t01->t02,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_13,8,wide_layered,homogeneous,tied,13,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,io,4,,,,,,,,,-1.824,-0.076,-3.072,-0.128,-1.152,-0.048
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,io,8,,,,,,,,,-0.768,-0.032,-0.384,-0.016,0.192,0.008
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.104,-0.046,0.512,0.02133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.960,0.04,1.536,0.064
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_14,8,wide_layered,homogeneous,tied,14,io,4,true,t01->t04 => t01->t04,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_15,8,wide_layered,homogeneous,tied,15,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,io,4,,,,,,,,,-1.344,-0.056,-2.784,-0.116,-1.344,-0.056
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,io,8,,,,,,,,,-0.768,-0.032,2.112,0.088,0.960,0.04
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,equal_alternating,4,,,,,,,,,-0.384,-0.016,-0.816,-0.034,0.336,0.014
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,equal_alternating,8,,,,,,,,,-0.384,-0.016,-0.672,-0.028,2.208,0.092
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_16,8,wide_layered,homogeneous,tied,16,io,4,true,t01->t08 => t01->t08,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,io,4,,,,,,,,,-1.824,-0.076,-3.072,-0.128,-1.152,-0.048
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,io,8,,,,,,,,,-0.768,-0.032,-0.384,-0.016,0.192,0.008
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.104,-0.046,0.512,0.02133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.960,0.04,1.536,0.064
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_17,8,wide_layered,homogeneous,tied,17,io,4,true,t01->t04 => t01->t04,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,io,4,,,,,,,,,-0.960,-0.04,-3.552,-0.148,-1.920,-0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,io,8,,,,,,,,,-0.768,-0.032,0.000,0,-0.384,-0.016
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.488,-0.062,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,0.384,0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_18,8,wide_layered,homogeneous,tied,18,io,4,true,t01->t03 => t01->t03,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_19,8,wide_layered,homogeneous,tied,19,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,tied,0,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,tied,0,io,4,,,,,,,,,0.000,0,10.959,0.1522083333333333333333333333,1.868,0.02594444444444444444444444444
schedule_policy,exp08_confirmatory_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,tied,0,io,8,,,,,,,,,5.520,0.07666666666666666666666666667,12.851,0.1784861111111111111111111111,-0.327,-0.004541666666666666666666666667
schedule_policy,exp08_confirmatory_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,tied,0,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,tied,0,equal_alternating,4,,,,,,,,,-0.098,-0.001361111111111111111111111111,-0.731,-0.01015277777777777777777777778,-2.597,-0.03606944444444444444444444444
