experiment_id,source_experiment,variant_id,decomposition_level,P,overhead,W4,L4,B4,T_star,delta_T_star_from_variant_3,solver_status
EXP-04A,EXP-00,3,0,4,0,53.60,43.20,43.20,43.20,0.00,OPTIMAL
EXP-04A,EXP-00,4,1,4,0,53.600,36.700,36.700,36.70,-6.50,OPTIMAL
