experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t02,human_1,1,human,10.050,12.750,2.700,10.050,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t02,agent_1,1,agent,12.750,21.750,9.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t02,human_2,1,human,21.750,22.050,0.300,21.750,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t03,human_1,2,human,6.000,10.050,4.050,6.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t03,agent_1,2,agent,10.050,23.550,13.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t03,human_2,2,human,23.550,24.000,0.450,23.550,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t04,human_1,2,human,24.000,29.400,5.400,24.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t04,agent_1,2,agent,29.400,47.400,18.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,exact,phase,t04,human_2,2,human,47.400,48.000,0.600,47.400,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,human_1,1,human,0,0.375,0.375,0,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,agent_1,1,agent,0.375,1.875,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,human_2,1,human,1.875,2.250,0.375,1.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,agent_2,1,agent,2.250,3.750,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,human_3,1,human,3.750,4.125,0.375,3.750,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,agent_3,1,agent,4.125,5.625,1.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t01,human_4,1,human,5.625,6.000,0.375,5.625,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,human_1,2,human,7.125,7.875,0.750,6.000,1.125
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,agent_1,2,agent,7.875,10.875,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,human_2,2,human,10.875,11.625,0.750,10.875,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,agent_2,2,agent,11.625,14.625,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,human_3,2,human,14.625,15.375,0.750,14.625,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,agent_3,2,agent,15.375,18.375,3.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t02,human_4,2,human,18.375,19.125,0.750,18.375,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,human_1,1,human,6.000,7.125,1.125,6.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,baseline,phase,t03,agent_1,1,agent,7.125,11.625,4.500,,0
