experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,time_unit,T_h,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_gap_to_optimum,baseline_relative_gap,solver_status,solver_objective,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_queue,exact_blocked_any,tightness_gap,tightness_relative_gap
EXP-01,exp01_chain_n4_p4_rh50_io,2dbb02176503359bd15a126ce548a22551ce805e57ac2841f60a681c6d499111,chain,4,4,0.50,io,0.025,60,30.00,30.00,60.00,60.00,15.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000500,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p4_rh50_alternating_sync,c75198edd032e227acf3aed3197e390221e18ab40ff2b718b5001af40b9097f7,chain,4,4,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,60.00,15.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000720,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p4_rh50_alternating_staggered,11e600e092d173d99fdeb3751dbfa9c833856acc7ec1e28edac5b7eb7fe69138,chain,4,4,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,60.00,15.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000715,0,0,0.000,0.0
EXP-01,exp01_independent_n4_p2_rh10_io,55cb7e65937ade8ccb7c0d3dd8e822490730b0292ffdf2c4e8f782f2f2d93de1,independent,4,2,0.10,io,0.025,60,54.00,6.00,60.00,24.00,30.00,6.00,30.00,work,t04,31.20,1.20,1.20,0.600,0.01960784313725490196078431373,OPTIMAL,30.600,30.6000,0.0,0.002464,0.300,0.300,0.600,0.02
EXP-01,exp01_independent_n4_p2_rh10_alternating_sync,934aabcd8dd28c6e7596abe64fac1a7daf461975d1f79b7f3b95c5ab8f76e4b6,independent,4,2,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,24.00,30.00,6.00,30.00,work,t04,30.60,0.60,0.60,0.150,0.004926108374384236453201970443,OPTIMAL,30.450,30.4500,0.0,0.005623,0.300,0.300,0.450,0.015
EXP-01,exp01_independent_n4_p2_rh10_alternating_staggered,823dd9ca6ef16c36fdc2000e5e2c0dc57ae7380c67ad1cb3667784c0165797c5,independent,4,2,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,24.00,30.00,6.00,30.00,work,t04,30.90,0.90,0.90,0.450,0.01477832512315270935960591133,OPTIMAL,30.450,30.4500,0.0,0.005307,0.300,0.300,0.450,0.015
EXP-01,exp01_independent_n4_p2_rh25_io,edd9d352b5b7c998725d8edf61b5d09b073686312179bddec2fba36af7d1f0b1,independent,4,2,0.25,io,0.025,60,45.00,15.00,60.00,24.00,30.00,15.00,30.00,work,t04,36.00,7.50,7.50,4.500,0.1428571428571428571428571429,OPTIMAL,31.500,31.5000,0.0,0.005761,0.750,0.750,1.500,0.05
EXP-01,exp01_independent_n4_p2_rh25_alternating_sync,01ab5b2ca29a7a3c4e559f651deb7681af2139a6af08ded7856988b79ba201bb,independent,4,2,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,24.00,30.00,15.00,30.00,work,t04,33.000,4.500,4.500,1.875,0.06024096385542168674698795181,OPTIMAL,31.125,31.1250,0.0,0.006822,0.750,0.750,1.125,0.0375
EXP-01,exp01_independent_n4_p2_rh25_alternating_staggered,e8dd6718d520a4966cc3deb15d1d29db5326a71d713c025ff85889cef5c779ef,independent,4,2,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,24.00,30.00,15.00,30.00,work,t04,32.250,3.000,3.000,1.125,0.03614457831325301204819277108,OPTIMAL,31.125,31.1250,0.0,0.008117,0,0,1.125,0.0375
EXP-01,exp01_independent_n4_p2_rh50_io,60dee2258edb2b374a38a7ced573266300a11b3e6150443b840f6fd0f5b07e06,independent,4,2,0.50,io,0.025,60,30.00,30.00,60.00,24.00,30.00,30.00,30.00,"work,human",t04,40.50,18.00,18.00,6.000,0.1739130434782608695652173913,OPTIMAL,34.500,34.5000,0.0,0.005280,4.500,4.500,4.500,0.15
