claim,metric,estimator,n,cluster_n,mean,median,q25,q75,q90,q95,negative_rate,zero_rate,positive_rate,bootstrap_statistic,bootstrap_center,bootstrap_ci_low,bootstrap_ci_high,decision
C1,delta_tightness_sync_minus_staggered,baseline_policy,1440,480,-0.007400122386964484703016726733,-0.002167329796640141467727675,-0.01773049645390070921985815600,0.00346919374177167575700583050,0.01999464705069761016715015850,0.02711074561403508771929824530,0.5451388888888888888888888889,0.1305555555555555555555555556,0.3243055555555555555555555556,median,-0.002167329796640141467727675,-0.002605251736111111111111111438,-0.001076327433628318584070796575,not_supported
C1,delta_tightness_sync_minus_staggered,exact,4,4,0.00729166666666666666666666675,0.004166666666666666666666667,0.00312500000000000000000000025,0.00833333333333333333333333350,0.01583333333333333333333333320,0.01833333333333333333333333310,0,0.25,0.75,median,0.004166666666666666666666667,0.000000,0.02083333333333333333333333300,supported
C2,delta_policy_optimal_p_agent_cost,baseline_policy,1440,480,-0.5222222222222222222222222222,0,0.00,0.00,0.00,0.00,0.1805555555555555555555555556,0.8152777777777777777777777778,0.004166666666666666666666666667,median,0,0.000,0.000,supported
C2,delta_policy_optimal_p_human_cost,baseline_policy,1440,480,-1.126388888888888888888888889,0,-2.00,0.00,0.00,0.00,0.3597222222222222222222222222,0.6340277777777777777777777778,0.00625,median,0,0.000,0.000,supported
C3,decomposition_interaction,baseline_policy,1440,480,10.69899305555555555555555556,6.4000,2.400000,15.000000,32.040000,40.800000,0.06527777777777777777777777778,0.02638888888888888888888888889,0.9083333333333333333333333333,median,6.4000,6.0000000,6.8000000,supported
C3,overhead_attenuation,baseline_policy,1440,480,4.784826388888888888888888889,2.000000,2.00000000,8.00000000,12.00000000,12.00000000,0.03472222222222222222222222222,0.00625,0.9590277777777777777777777778,median,2.000000,2.000000000,2.000000000,supported
C4,delta_human_active_high_minus_low,lower_bound,480,480,-0.1833333333333333333333333333,0,-1.00,0.00,1.00,1.00,0.3041666666666666666666666667,0.575,0.1208333333333333333333333333,mean,-0.1833333333333333333333333333,-0.2395833333333333333333333333,-0.1291145833333333333333333333,not_supported
