experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,policy_id,human_request_count,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,baseline_gap_to_optimum,baseline_relative_gap,exact_makespan,exact_queue,exact_blocked_any,exact_blocked_agent_time,exact_full_agent_stop,exact_maximum_queue_length,exact_mean_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_blocked_agent_time,baseline_full_agent_stop,baseline_maximum_queue_length,baseline_mean_queue_length
EXP-03,exp03_fork_join_n4_p4_rh25_alternating_staggered,7914d030ebfeeb4a78f28d55623292d340f2652117aeb7d18a236002cbff1527,fork_join,4,4,0.25,alternating_staggered,bottom_level_fcfs_v1,16,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.003140,0.000,0.000000,0.000,0.000000,48.000,0,0,0,0,0,0.000000,48.000,1.125,1.125,1.125,0,1,0.023438
EXP-03,exp03_fork_join_n4_p4_rh50_io,d4e970b596eaf3788a6e0e7a18e06860bdb246861c1b78d9ad6c3bb230262a34,fork_join,4,4,0.50,io,bottom_level_fcfs_v1,8,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,51.000,51.0000,0.0,0.001513,3.000,0.062500,0.000,0.000000,51.000,0,0,0,0,0,0.000000,51.00,9.00,9.00,9.00,0,1,0.176471
EXP-03,exp03_fork_join_n4_p4_rh50_front_loaded,10d71cbe45e0fa569a1b330222c6f096999f14528a7e8ad91efe396e0c80a678,fork_join,4,4,0.50,front_loaded,bottom_level_fcfs_v1,8,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,50.100,50.1000,0.0,0.001347,2.100,0.043750,0.0000,0.000000,50.100,0,0,0,0,0,0.000000,50.1000,8.1000,8.1000,8.1000,0,1,0.161677
EXP-03,exp03_fork_join_n4_p4_rh50_alternating_sync,8b96dadb692aafba56bb361344933388598c5b6de1dc4d35baed937e5e651bd4,fork_join,4,4,0.50,alternating_sync,bottom_level_fcfs_v1,16,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,49.500,49.5000,0.0,0.004380,1.500,0.031250,0.000,0.000000,49.500,3.750,3.750,3.750,0,1,0.075758,49.50,7.50,7.50,7.50,0,1,0.151515
EXP-03,exp03_fork_join_n4_p4_rh50_alternating_staggered,c28812a6ad6e62099bf10eb6dbf4f829021347d097731ddd538394552fab5596,fork_join,4,4,0.50,alternating_staggered,bottom_level_fcfs_v1,16,30.00,30.00,60.00,48.00,15.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,49.250,49.2500,0.0,0.003862,1.250,0.026042,0.000,0.000000,49.250,2.000,2.000,2.000,0,1,0.040609,49.25,4.75,4.75,4.75,0,1,0.096447
EXP-03,exp03_two_layer_n4_p2_rh25_io,21a2ca95874267a8c50a8d5ebc6af9bab24a90d91a09ca85ea2da83689f5d33d,two_layer,4,2,0.25,io,bottom_level_fcfs_v1,8,45.00,15.00,60.00,36.00,30.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.001650,0.000,0.000000,0.000,0.000000,36.000,0,0,0,0,0,0.000000,36.00,4.50,4.50,4.50,4.50,1,0.125000
EXP-03,exp03_two_layer_n4_p2_rh25_front_loaded,96b8d043f59891170122367365bd0823b0fc2cc1f6796d6804804f9881f8efce,two_layer,4,2,0.25,front_loaded,bottom_level_fcfs_v1,8,45.00,15.00,60.00,36.00,30.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.001500,0.000,0.000000,0.0000,0.000000,36.000,0,0,0,0,0,0.000000,36.0000,8.1000,8.1000,8.1000,8.1000,1,0.225000
EXP-03,exp03_two_layer_n4_p2_rh25_alternating_sync,b350b597e9183742788e75b067533d93c4b2a5d5a5c6009224c11aa901cbc381,two_layer,4,2,0.25,alternating_sync,bottom_level_fcfs_v1,16,45.00,15.00,60.00,36.00,30.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.750,36.7500,0.0,0.002616,0.750,0.020833,0.000,0.000000,36.750,0.750,0.750,0.750,0.750,1,0.020408,36.750,3.000,3.000,3.000,3.000,1,0.081633
EXP-03,exp03_two_layer_n4_p2_rh25_alternating_staggered,91ff60309eef111517380752b1ddbdf4f78d7e7adc72c41d2d7b4fb364038888,two_layer,4,2,0.25,alternating_staggered,bottom_level_fcfs_v1,16,45.00,15.00,60.00,36.00,30.00,15.00,36.00,critical_path,t02->t04,OPTIMAL,36.000,36.0000,0.0,0.002920,0.000,0.000000,0.000,0.000000,36.000,1.500,1.500,1.500,1.500,1,0.041667,36.00,3.750,3.750,3.750,3.750,1,0.104167
EXP-03,exp03_two_layer_n4_p2_rh50_io,80dd7e710505da81b975f814db1f746ea660b172af007dcd74e2ab4cb9c23aba,two_layer,4,2,0.50,io,bottom_level_fcfs_v1,8,30.00,30.00,60.00,36.00,30.00,30.00,36.00,critical_path,t02->t04,OPTIMAL,40.500,40.5000,0.0,0.001404,4.500,0.125000,0.000,0.000000,40.500,4.500,4.500,4.500,4.500,1,0.111111,40.50,13.50,13.50,13.50,13.50,1,0.333333
